utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:14,2025-10-31 22:00:14,South Georgia and the South Sandwich Islands,King Edward Point,South America,4.44,4.44,4.44,88.0,1.02,9367.0,0.0,100.0,4.26,5.9,258.0,995.0,0,804,Clouds,overcast clouds,04n
2025-11-01 06:00:19,2025-11-01 04:00:19,South Georgia and the South Sandwich Islands,King Edward Point,South America,3.73,3.73,3.73,92.0,0.8,718.0,0.0,100.0,3.24,4.54,256.0,993.0,0,804,Clouds,overcast clouds,04n
2025-11-01 12:00:16,2025-11-01 10:00:16,South Georgia and the South Sandwich Islands,King Edward Point,South America,4.52,4.52,4.52,91.0,1.85,10000.0,0.0,98.0,3.11,4.6,320.0,991.0,1,804,Clouds,overcast clouds,04d
2025-11-01 18:00:23,2025-11-01 16:00:23,South Georgia and the South Sandwich Islands,King Edward Point,South America,4.49,4.49,4.49,97.0,1.69,2500.0,0.16,100.0,3.28,6.5,329.0,985.0,1,500,Rain,light rain,10d
2025-11-02 00:00:15,2025-11-01 22:00:15,South Georgia and the South Sandwich Islands,King Edward Point,South America,2.99,2.99,2.99,96.0,-0.36,2398.0,0.0,100.0,3.61,5.75,322.0,980.0,0,804,Clouds,overcast clouds,04n
2025-11-02 06:00:20,2025-11-02 04:00:20,South Georgia and the South Sandwich Islands,King Edward Point,South America,3.07,3.07,3.07,94.0,-0.45,1008.0,0.0,100.0,3.9,5.41,268.0,977.0,0,804,Clouds,overcast clouds,04n
2025-11-02 12:00:19,2025-11-02 10:00:19,South Georgia and the South Sandwich Islands,King Edward Point,South America,2.91,2.91,2.91,91.0,-0.75,245.0,0.11,92.0,4.06,5.57,295.0,977.0,1,500,Rain,light rain,10d
2025-11-02 18:00:17,2025-11-02 16:00:17,South Georgia and the South Sandwich Islands,King Edward Point,South America,2.95,2.95,2.95,59.0,-0.65,10000.0,0.0,97.0,3.98,4.45,224.0,978.0,1,804,Clouds,overcast clouds,04d
2025-11-03 00:00:13,2025-11-02 22:00:13,South Georgia and the South Sandwich Islands,King Edward Point,South America,1.71,1.71,1.71,82.0,-1.63,10000.0,0.0,96.0,3.23,4.91,317.0,978.0,0,804,Clouds,overcast clouds,04n
2025-11-03 06:00:17,2025-11-03 04:00:17,South Georgia and the South Sandwich Islands,King Edward Point,South America,1.21,1.21,1.21,91.0,-3.17,5173.0,0.0,79.0,4.6,7.69,307.0,975.0,0,803,Clouds,broken clouds,04n
2025-11-03 12:00:23,2025-11-03 10:00:23,South Georgia and the South Sandwich Islands,King Edward Point,South America,1.94,1.94,1.94,84.0,-3.6,10000.0,0.0,72.0,7.46,10.17,308.0,975.0,1,803,Clouds,broken clouds,04d
2025-11-03 18:00:17,2025-11-03 16:00:17,South Georgia and the South Sandwich Islands,King Edward Point,South America,2.95,2.95,2.95,59.0,-0.65,10000.0,0.0,97.0,3.98,4.45,224.0,978.0,1,804,Clouds,overcast clouds,04d
2025-11-04 00:00:17,2025-11-03 22:00:17,South Georgia and the South Sandwich Islands,King Edward Point,South America,1.0,1.0,1.0,79.0,-3.03,10000.0,0.0,31.0,3.97,5.57,305.0,974.0,0,802,Clouds,scattered clouds,03n
2025-11-04 06:00:15,2025-11-04 04:00:15,South Georgia and the South Sandwich Islands,King Edward Point,South America,0.74,0.74,0.74,75.0,-2.71,10000.0,0.0,100.0,3.12,4.19,267.0,974.0,0,804,Clouds,overcast clouds,04n
2025-11-04 12:00:22,2025-11-04 10:00:22,South Georgia and the South Sandwich Islands,King Edward Point,South America,1.85,1.85,1.85,64.0,-1.3,10000.0,0.0,76.0,3.03,4.43,261.0,976.0,1,803,Clouds,broken clouds,04d
2025-11-04 18:00:18,2025-11-04 16:00:18,South Georgia and the South Sandwich Islands,King Edward Point,South America,2.16,2.16,2.16,62.0,-1.88,10000.0,0.0,68.0,4.4,5.54,286.0,979.0,1,803,Clouds,broken clouds,04d
